voterID,voteTime,pollID,"Loren Culp","Tim Eyman","Phil Fortunato","Joshua Freed","Raul Garcia","Anton Sakharov"
xz6dee4ys2,"2020-07-17 14:37:06",swzw2ts6,5,0,0,0,0,0
xe2c722d4c,"2020-07-17 14:46:09",swzw2ts6,5,0,0,0,0,0
arcp2w3dww,"2020-07-17 14:48:08",swzw2ts6,5,0,0,0,0,0
yszprrz93c,"2020-07-17 14:48:36",swzw2ts6,5,0,0,0,0,0
4ny2ad2f2d,"2020-07-17 14:50:11",swzw2ts6,5,0,0,0,0,0
43kzee1r5w,"2020-07-17 15:03:51",swzw2ts6,5,0,0,0,0,0
nry5yrr55y,"2020-07-17 15:10:09",swzw2ts6,0,0,0,1,0,0
fr91hwsfxw,"2020-07-17 15:10:59",swzw2ts6,5,0,0,0,0,0
mz6sz4w92m,"2020-07-17 15:16:39",swzw2ts6,5,0,0,0,0,0
mpt44k24cm,"2020-07-17 15:26:00",swzw2ts6,0,0,0,0,1,0
9szea96mrp,"2020-07-17 15:30:55",swzw2ts6,4,5,2,3,1,0
hh442z5te5,"2020-07-17 15:37:34",swzw2ts6,5,0,0,0,0,0
mfm32tyrtd,"2020-07-17 16:05:37",swzw2ts6,5,0,0,0,0,0
ac7nsxa99a,"2020-07-17 16:07:20",swzw2ts6,5,0,0,3,0,0
ym91af45cf,"2020-07-17 16:13:24",swzw2ts6,5,0,0,0,0,0
h3atf5cn1t,"2020-07-17 16:29:59",swzw2ts6,0,0,0,5,0,0
kwke2wh7f6,"2020-07-17 16:53:12",swzw2ts6,4,0,0,0,0,0
myyah9x1x3,"2020-07-17 17:02:48",swzw2ts6,5,2,0,0,0,0
fct94d9sa7,"2020-07-17 17:06:09",swzw2ts6,5,2,0,3,0,0
pad64c6s7d,"2020-07-17 17:24:50",swzw2ts6,0,0,0,0,0,0
t6ez72pwzc,"2020-07-17 17:26:47",swzw2ts6,5,0,0,0,0,0
zshyn7y3ws,"2020-07-17 17:48:02",swzw2ts6,5,0,0,0,0,0
m729rkzamp,"2020-07-17 17:49:28",swzw2ts6,5,0,0,0,0,0
zzy1f9e5xp,"2020-07-17 17:53:27",swzw2ts6,5,5,0,0,0,0
c3t53tcxas,"2020-07-17 17:56:36",swzw2ts6,3,5,0,1,0,0
73pc6t3cdd,"2020-07-17 18:08:40",swzw2ts6,5,2,0,0,0,0
pk7ctcwshc,"2020-07-17 18:12:06",swzw2ts6,5,0,0,0,0,0
769dfm6yz1,"2020-07-17 18:13:30",swzw2ts6,1,2,0,5,1,0
my42529zrn,"2020-07-17 18:15:46",swzw2ts6,5,0,0,0,0,0
ne4kyfhw3n,"2020-07-17 18:16:45",swzw2ts6,5,0,0,0,0,0
4r16sdyph5,"2020-07-17 18:17:33",swzw2ts6,5,0,0,0,0,0
twmfc2ypzk,"2020-07-17 18:18:16",swzw2ts6,5,0,0,0,0,0
c7a1c54s69,"2020-07-17 18:22:24",swzw2ts6,5,3,0,0,0,1
sapfwcczz5,"2020-07-17 18:25:26",swzw2ts6,5,0,0,0,0,0
pwyz1yhmnx,"2020-07-17 18:43:28",swzw2ts6,5,0,0,0,0,0
14h4n4s4ky,"2020-07-17 18:43:54",swzw2ts6,5,0,0,0,0,0
yrk9prtzs5,"2020-07-17 18:45:20",swzw2ts6,5,0,0,0,0,0
nx96shwz1r,"2020-07-17 18:45:34",swzw2ts6,5,0,0,3,0,0
72a4yt6tfx,"2020-07-17 18:53:27",swzw2ts6,5,2,0,0,0,0
zfkrtrk3wn,"2020-07-17 19:01:48",swzw2ts6,5,0,0,2,0,0
xm46mec5t3,"2020-07-17 19:05:26",swzw2ts6,5,0,0,0,0,0
2r747421yy,"2020-07-17 19:06:20",swzw2ts6,5,0,0,0,0,0
d5sen4na31,"2020-07-17 19:06:20",swzw2ts6,5,0,0,0,0,0
wwzw56wcca,"2020-07-17 19:11:06",swzw2ts6,5,0,0,0,1,0
m6wz36dswn,"2020-07-17 19:16:14",swzw2ts6,5,0,0,0,0,0
kfra7yatta,"2020-07-17 19:23:03",swzw2ts6,5,0,0,0,0,0
pne2fwa4ez,"2020-07-17 19:27:26",swzw2ts6,5,0,0,3,0,0
5pxa5fh3a4,"2020-07-17 19:34:20",swzw2ts6,5,0,0,0,0,0
44fcdda5p6,"2020-07-17 19:40:47",swzw2ts6,5,4,0,0,0,0
dkdsfyf5d4,"2020-07-17 19:42:00",swzw2ts6,5,0,0,0,0,0
rwcdkzhzdw,"2020-07-17 19:42:53",swzw2ts6,5,4,1,0,1,1
aa5s2rmhek,"2020-07-17 19:49:58",swzw2ts6,5,0,0,4,0,0
c522s1c41n,"2020-07-17 19:52:01",swzw2ts6,5,0,0,0,0,0
n73zywf1h2,"2020-07-17 19:55:21",swzw2ts6,5,0,0,0,0,0
aanhsdhxcc,"2020-07-17 19:55:33",swzw2ts6,0,0,0,0,0,0
4neh6zacmm,"2020-07-17 19:58:47",swzw2ts6,1,0,0,0,0,0
xmcaed7h5y,"2020-07-17 20:00:45",swzw2ts6,5,5,0,0,0,0
4t75e9ar5s,"2020-07-17 20:06:37",swzw2ts6,0,0,0,5,0,0
zrxscsxp3z,"2020-07-17 20:06:37",swzw2ts6,5,0,0,0,0,0
hrsata1dd9,"2020-07-17 20:06:46",swzw2ts6,5,0,0,0,0,0
wdcc2xefr3,"2020-07-17 20:10:27",swzw2ts6,5,4,0,5,0,0
me43c764x7,"2020-07-17 20:11:32",swzw2ts6,0,0,5,0,0,0
tdez6z9ca1,"2020-07-17 20:19:10",swzw2ts6,5,0,0,0,0,0
end1fek4n5,"2020-07-17 20:19:54",swzw2ts6,5,0,0,0,0,0
23zd16e2wp,"2020-07-17 20:23:48",swzw2ts6,4,3,0,4,3,0
61ph6mhnzx,"2020-07-17 20:44:01",swzw2ts6,5,0,0,4,0,0
twwzkkech5,"2020-07-17 20:50:36",swzw2ts6,5,3,0,0,0,0
nmnyh3rcf7,"2020-07-17 20:55:00",swzw2ts6,5,1,2,1,1,1
2nmrm3twpt,"2020-07-17 20:56:50",swzw2ts6,5,0,0,0,0,0
1yy9rcdtxf,"2020-07-17 21:14:09",swzw2ts6,3,1,2,5,3,0
c7tyt422fh,"2020-07-17 21:25:25",swzw2ts6,5,0,0,0,0,0
4sthah3swx,"2020-07-17 21:34:03",swzw2ts6,5,0,0,0,0,0
rhemh3f3tz,"2020-07-17 21:37:31",swzw2ts6,5,0,0,0,0,0
dakypskak1,"2020-07-17 21:38:21",swzw2ts6,3,3,3,3,2,1
ch4e9mdz6a,"2020-07-17 21:40:18",swzw2ts6,5,0,0,0,0,0
k6d4ym4x31,"2020-07-17 21:41:07",swzw2ts6,5,0,0,0,0,0
zrdkzkpyxn,"2020-07-17 21:44:24",swzw2ts6,5,0,0,0,0,0
71sfw3was5,"2020-07-17 21:44:39",swzw2ts6,5,0,0,0,0,0
xfpxaezxkn,"2020-07-17 21:45:37",swzw2ts6,5,2,2,2,2,1
tt1krz761d,"2020-07-17 21:49:29",swzw2ts6,5,0,0,0,0,0
kcx15567yk,"2020-07-17 21:50:22",swzw2ts6,5,0,0,0,0,0
mx2xpr2xp1,"2020-07-17 21:53:05",swzw2ts6,5,0,0,4,4,0
r1apdsmhmy,"2020-07-17 21:54:15",swzw2ts6,0,0,0,5,0,0
4tdz2y6y27,"2020-07-17 21:55:35",swzw2ts6,5,1,1,1,2,1
hrytks1fst,"2020-07-17 21:57:28",swzw2ts6,5,4,0,2,0,0
79kxtzkk3p,"2020-07-17 22:01:07",swzw2ts6,5,0,0,0,0,0
553azrrmpy,"2020-07-17 22:03:12",swzw2ts6,3,2,3,4,0,0
smt7x3ndd1,"2020-07-17 22:05:42",swzw2ts6,5,1,1,0,0,2
7paw31dxcp,"2020-07-17 22:07:15",swzw2ts6,5,0,0,0,0,0
32dse4e645,"2020-07-17 22:08:33",swzw2ts6,5,0,0,0,0,0
1rt5m4wd21,"2020-07-17 22:13:29",swzw2ts6,5,2,2,0,0,0
2ep37s491w,"2020-07-17 22:15:05",swzw2ts6,5,0,0,0,0,0
