voterID,voteTime,pollID,"Lincoln Chafee","Vermin Supreme","Jo Jorgensen ","Dan Behrman","Sam Robb","John McAfee","Mark Whitney","Arvin Vohra","Max Abramson","Ken Armstrong ","Keenan Dunham","John Monds","Erik Gerhardt","Souraya Fass","Jedi Hill","Ben Leder","Jacob Hornberger","James Ogle","Sorinne Ardeleanu"
x62y3s2w12,"2020-02-13 08:33:59",9xrw9wch,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2ehzstxch2,"2020-02-13 08:34:50",9xrw9wch,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pnk1w6rda3,"2020-02-13 08:34:53",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x93ss6a3dr,"2020-02-13 08:35:35",9xrw9wch,2,5,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
n5sr5wac3f,"2020-02-13 08:35:49",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2t3d9twd55,"2020-02-13 08:36:29",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nxeztzam1f,"2020-02-13 08:36:29",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tfzw16sef6,"2020-02-13 08:37:29",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5m5pcp7fy2,"2020-02-13 08:37:30",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d7a1f1cw7p,"2020-02-13 08:37:58",9xrw9wch,1,5,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
7dk3z1zset,"2020-02-13 08:38:56",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4xsw3araz3,"2020-02-13 08:39:00",9xrw9wch,0,5,3,5,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0
ne66fhrmpr,"2020-02-13 08:39:49",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heckc4wx7w,"2020-02-13 08:39:51",9xrw9wch,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krcwt1n9ya,"2020-02-13 08:40:15",9xrw9wch,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0
